llm_win_rate_all,llm_win_rate_excluding_ties,llm_win_rate_ties_half,llm_wins,marker,n,order,programmatic_wins,tie_rate,ties
0.47524271844660193,0.8520452567449956,0.6963592233009709,979,clarity_actionability,2060,AB,170,0.44223300970873786,911
0.006310679611650485,0.009796533534287867,0.18422330097087378,13,clarity_actionability,2060,BA,1314,0.3558252427184466,733
0.3237864077669903,0.34363730036063883,0.35266990291262135,667,endurance_development,2060,AB,1274,0.05776699029126214,119
0.21601941747572814,0.24145415084102007,0.26868932038834953,445,endurance_development,2060,BA,1398,0.10533980582524272,217
0.1762135922330097,0.2501722949689869,0.32402912621359226,363,explanation_quality,2060,AB,1088,0.29563106796116506,609
0.31019417475728156,0.387038158691702,0.40946601941747574,639,explanation_quality,2060,BA,1012,0.19854368932038835,409
0.4286407766990291,0.47422126745435017,0.4766990291262136,883,load_progression,2060,AB,979,0.09611650485436893,198
0.25145631067961166,0.27611940298507465,0.2961165048543689,518,load_progression,2060,BA,1358,0.08932038834951456,184
0.5334951456310679,0.7838801711840229,0.6932038834951456,1099,plan_coherence,2060,AB,303,0.3194174757281553,658
0.009708737864077669,0.012062726176115802,0.10728155339805825,20,plan_coherence,2060,BA,1638,0.19514563106796118,402
0.270873786407767,0.3527180783817952,0.38689320388349513,558,quality_session_design,2060,AB,1024,0.2320388349514563,478
0.24951456310679612,0.3278061224489796,0.36893203883495146,514,quality_session_design,2060,BA,1054,0.23883495145631067,492
0.38300970873786405,0.6440816326530612,0.5856796116504854,789,readiness_alignment,2060,AB,436,0.4053398058252427,835
0.1679611650485437,0.22868473231989425,0.30072815533980585,346,readiness_alignment,2060,BA,1167,0.26553398058252425,547
0.529126213592233,0.7763532763532763,0.6883495145631068,1090,recovery_safety,2060,AB,314,0.31844660194174756,656
0.058737864077669906,0.07391569945021381,0.16140776699029127,121,recovery_safety,2060,BA,1516,0.20533980582524272,423
0.26553398058252425,0.30869074492099324,0.3354368932038835,547,training_specificity,2060,AB,1225,0.13980582524271845,288
0.5766990291262136,0.649890590809628,0.6330097087378641,1188,training_specificity,2060,BA,640,0.11262135922330097,232
